date,rate
2003 December,1.7
2004 January,1.3
2004 February,1.2
2004 March,1.1
2004 April,1.4
2004 May,1.5
2004 June,1.4
2004 July,1.1
2004 August,1.1
2004 September,1
2004 October,1.4
2004 November,1.3
2004 December,1.2
2005 January,1.5
2005 February,1.6
2005 March,1.8
2005 April,1.5
2005 May,1.3
2005 June,1.6
2005 July,1.6
2005 August,1.8
2005 September,1.8
2005 October,1.6
2005 November,1.8
2005 December,2
2006 January,1.3
2006 February,1.1
2006 March,1
2006 April,1.2
2006 May,1.2
2006 June,1.3
2006 July,1.3
2006 August,1.4
2006 September,1.1
2006 October,0.9
2006 November,1
2006 December,1.1
2007 January,1.4
2007 February,1.5
2007 March,1.8
2007 April,1.8
2007 May,1.8
2007 June,1.7
2007 July,1.5
2007 August,1.1
2007 September,1.3
2007 October,1.6
2007 November,1.9
2007 December,1.9
2008 January,2
2008 February,2.2
2008 March,2.2
2008 April,2
2008 May,2.3
2008 June,2.6
2008 July,3.2
2008 August,3.2
2008 September,3.1
2008 October,2.8
2008 November,2.3
2008 December,1.9
2009 January,1.9
2009 February,2
2009 March,2
2009 April,1.8
2009 May,1.6
2009 June,1.4
2009 July,0.2
2009 August,0.3
2009 September,0.4
2009 October,0.7
2009 November,1
2009 December,1.1
2010 January,0.8
2010 February,0.8
2010 March,1
2010 April,1.1
2010 May,1
2010 June,0.8
2010 July,1.6
2010 August,1.5
2010 September,1.6
2010 October,1.6
2010 November,1.6
2010 December,1.9
2011 January,2
2011 February,1.9
2011 March,2
2011 April,2.1
2011 May,2.3
2011 June,2.3
2011 July,2.6
2011 August,2.6
2011 September,2.7
2011 October,2.6
2011 November,2.6
2011 December,2.4
2012 January,2.5
2012 February,2.5
2012 March,2.5
2012 April,2.4
2012 May,2.1
2012 June,2.1
2012 July,2.3
2012 August,2.3
2012 September,2.3
2012 October,2.9
2012 November,2.8
2012 December,2.9
2013 January,3
2013 February,3
2013 March,2.9
2013 April,2.6
2013 May,2.8
2013 June,2.9
2013 July,3.1
2013 August,2.8
2013 September,2.4
2013 October,1.6
2013 November,1.5
2013 December,1.7
2014 January,1.4
2014 February,1.1
2014 March,0.8
2014 April,1.2
2014 May,0.8
2014 June,0.9
2014 July,0.9
2014 August,1
2014 September,0.9
2014 October,1.1
2014 November,1
2014 December,0.7
2015 January,0
2015 February,0.2
2015 March,0.4
2015 April,0.6
2015 May,1.1
2015 June,1
2015 July,1
2015 August,0.8
2015 September,0.6
2015 October,0.6
2015 November,0.7
2015 December,0.7
2016 January,0.6
2016 February,0.6
2016 March,0.6
2016 April,0
2016 May,0
2016 June,0
2016 July,-0.2
2016 August,0.2
2016 September,0.1
2016 October,0.4
2016 November,0.6
2016 December,1
2017 January,1.7
2017 February,1.8
2017 March,1.1
2017 April,1.6
2017 May,1.1
2017 June,1.1
2017 July,1.3
2017 August,1.4
2017 September,1.5
2017 October,1.3
2017 November,1.5
2017 December,1.3
2018 January,1.5
2018 February,1.2
2018 March,1
2018 April,1.1
2018 May,1.7
2018 June,1.7
2018 July,2.1
2018 August,2.1
2018 September,1.9
2018 October,2.1
2018 November,2
2018 December,2
2019 January,2.2
2019 February,2.6
2019 March,2.8
2019 April,2.9
2019 May,2.4
2019 June,2.7
2019 July,2.5
2019 August,2.8
2019 September,2.6
2019 October,2.7
2019 November,2.6
2019 December,2.7
2020 January,1.8
2020 February,1.6
2020 March,1.4
2020 April,1.2
2020 May,1.2
2020 June,1.6
2020 July,1.7
2020 August,0.7
2020 September,1.1
2020 October,1.2
2020 November,0.8
2020 December,1
2021 January,1.6
2021 February,1.8
2021 March,1.9
2021 April,1.9
2021 May,2.1
2021 June,2
2021 July,1.4
2021 August,2.4
2021 September,2.7
2021 October,3.4
2021 November,5.2
2021 December,5.7
2022 January,6.4
2022 February,6.2
2022 March,9.7
2022 April,9.6
2022 May,8.8
2022 June,8.6
2022 July,10.3
2022 August,12
2022 September,14.5
2022 October,14.3
2022 November,9.9
2022 December,9.6
2023 January,7.6
2023 February,8
2023 March,4.4
2023 April,5.2
2023 May,6.1
2023 June,5.7
2023 July,4.6
2023 August,3
2023 September,0.2
2023 October,-0.4
2023 November,1.6
2023 December,1.2
2024 January,3.2
2024 February,2.8
2024 March,3.1
2024 April,2.7
2024 May,2.7
2024 June,3.2
2024 July,3.7
2024 August,3.6
2024 September,3.5
2024 October*,3.5
